group_ID,site,week_time,date,weather,time_block,hours_spent_on_site,start_time,activity,sex,age,dogs,dog_size,observer,confirmed,group_size,people_per_hour
LL_JU12_2pm_7,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_8,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_11,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,3,113
LL_JU12_2pm_14,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_15,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,run,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_16,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_17,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,3,113
LL_JU12_2pm_19,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_22,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
LL_JU12_2pm_22,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
LL_JU12_2pm_24,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,1,S,NL,Y,2,113
LL_JU12_2pm_26,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
LL_JU12_2pm_26,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
LL_JU12_2pm_27,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,3,113
LL_JU12_2pm_29,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_30,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,C,0,NA,NL,Y,2,113
LL_JU12_2pm_30,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,C,0,NA,NL,Y,2,113
LL_JU12_2pm_31,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_32,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_33,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_34,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_35,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_36,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_36,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_37,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_37,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_39,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,wheels,M,A,0,NA,NL,Y,3,113
LL_JU12_2pm_40,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
LL_JU12_2pm_40,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
